ID,Probability
1,0.06267432
2,0.0380777
3,0.017526265
4,0.07974729
5,0.089825
6,0.02848599
7,0.053926297
8,0.032844815
9,0.0028268276
10,0.36733663
11,0.008727565
12,0.018619245
13,0.009791547
14,0.058982875
15,0.055047464
16,0.019486094
17,0.027652167
18,0.015055917
19,0.18408239
20,0.08544499
21,0.007399539
22,0.0141042145
23,0.005939881
24,0.5125441
25,0.06585248
26,0.015133507
27,0.07953437
28,0.0071641826
29,0.045732237
30,0.02100059
31,0.059330557
32,0.006461576
33,0.017220724
34,0.057483528
35,0.35702518
36,0.047512688
37,0.036904667
38,0.010830513
39,0.009050669
40,0.0377412
41,0.37658525
42,0.2414942
43,0.09195553
44,0.0070037986
45,0.06742784
46,0.003091924
47,0.0031059815
48,0.018307623
49,0.017585974
50,0.030732011
51,0.018505022
52,0.020645294
53,0.006569248
54,0.047827348
55,0.017658403
56,0.07849817
57,0.0046465676
58,0.13558196
59,0.09695009
60,0.093727775
61,0.024217896
62,0.008122945
63,0.0257246
64,0.008738285
65,0.013564821
66,0.025975617
67,0.012898459
68,0.14655817
69,0.0060143503
70,0.6777996
71,0.017989898
72,0.09711997
73,0.0063385526
74,0.172858
75,0.012838336
76,0.02547773
77,0.088295676
78,0.03871573
79,0.015440933
80,0.021036727
81,0.01344209
82,0.012745475
83,0.052911144
84,0.007284269
85,0.017911851
86,0.015382974
87,0.048440155
88,0.008959052
89,0.040329322
90,0.01883569
91,0.0650517
92,0.014530635
93,0.010472915
94,0.013521388
95,0.005064357
96,0.13889849
97,0.029861886
98,0.0876849
99,0.013149655
100,0.013637438
101,0.05738127
102,0.071305454
103,0.0054870155
104,0.050010297
105,0.06954713
106,0.023269642
107,0.29394075
108,0.013029937
109,0.0061183316
110,0.01684515
111,0.016921813
112,0.02708741
113,0.022460693
114,0.4788575
115,0.07924156
116,0.0085832
117,0.0030517275
118,0.07469568
119,0.013033095
120,0.006987637
121,0.011816549
122,0.05903918
123,0.011850429
124,0.5506802
125,0.008633372
126,0.01542857
127,0.005458767
128,0.013345181
129,0.0051589697
130,0.053485077
131,0.035033703
132,0.06771541
133,0.0062526884
134,0.08179769
135,0.111430764
136,0.00705735
137,0.17160784
138,0.045290105
139,0.0060770353
140,0.013423461
141,0.004988985
142,0.015885185
143,0.0032727555
144,0.02005333
145,0.3385922
146,0.008018678
147,0.0040257075
148,0.11788406
149,0.0047522127
150,0.049102273
151,0.0049391217
152,0.011015207
153,0.006687046
154,0.010689108
155,0.01581612
156,0.02084489
157,0.05493397
158,0.004398657
159,0.1043508
160,0.021026758
161,0.004223797
162,0.018332174
163,0.014695388
164,0.06089662
165,0.0099494485
166,0.019129096
167,0.63040644
168,0.019762266
169,0.18650827
170,0.012400084
171,0.00467495
172,0.014455324
173,0.015979009
174,0.045186233
175,0.01707989
176,0.33551753
177,0.017780814
178,0.08946193
179,0.013036125
180,0.012247181
181,0.048387885
182,0.0074870945
183,0.016961345
184,0.012139694
185,0.13843317
186,0.0073009282
187,0.007943155
188,0.032234967
189,0.048693728
190,0.020927006
191,0.016651144
192,0.038548127
193,0.01278967
194,0.053070202
195,0.01081907
196,0.028382715
197,0.006493888
198,0.007925597
199,0.0074701025
200,0.006900419
201,0.0612139
202,0.026324328
203,0.36271358
204,0.040257014
205,0.016702268
206,0.0050612586
207,0.021747861
208,0.0043492485
209,0.08158829
210,0.0042315493
211,0.10547774
212,0.024973776
213,0.017864252
214,0.006233214
215,0.01525453
216,0.058870446
217,0.006769748
218,0.0764778
219,0.0152591225
220,0.003607267
221,0.01569564
222,0.008950043
223,0.01266334
224,0.009727278
225,0.0092776725
226,0.076263905
227,0.008194774
228,0.058387652
229,0.07865323
230,0.40003708
231,0.22681487
232,0.014006609
233,0.0118678175
234,0.015190811
235,0.0036652281
236,0.16874325
237,0.04644358
238,0.0035278795
239,0.014100303
240,0.016001426
241,0.038998574
242,0.011688045
243,0.0056984182
244,0.022206597
245,0.08401646
246,0.010437204
247,0.038987316
248,0.004857309
249,0.016571311
250,0.28731582
251,0.015840173
252,0.27203003
253,0.00490149
254,0.08423214
255,0.0031945643
256,0.008406273
257,0.033085834
258,0.15926695
259,0.0382319
260,0.12696722
261,0.0102803465
262,0.016649771
263,0.005771774
264,0.060452886
265,0.080849074
266,0.013294156
267,0.07462142
268,0.048804834
269,0.24971826
270,0.0055083884
271,0.025669968
272,0.03535679
273,0.005709856
274,0.015282138
275,0.0086247325
276,0.020953923
277,0.012575253
278,0.006185977
279,0.06366269
280,0.023421116
281,0.6824346
282,0.048424017
283,0.050185014
284,0.0074300184
285,0.009270584
286,0.008179136
287,0.01023132
288,0.044506885
289,0.057757456
290,0.0762395
291,0.30817327
292,0.0074896393
293,0.030938553
294,0.011016027
295,0.0039798934
296,0.022712566
297,0.01363692
298,0.030621458
299,0.004096395
300,0.0053017894
301,0.07904942
302,0.006873513
303,0.012336362
304,0.01059024
305,0.42077494
306,0.038117614
307,0.0032967094
308,0.2817988
309,0.26430514
310,0.0101990905
311,0.4995611
312,0.014292048
313,0.28348014
314,0.032110583
315,0.042466648
316,0.06747907
317,0.33216926
318,0.008349577
319,0.008277252
320,0.08769477
321,0.07637828
322,0.013354916
323,0.011206268
324,0.0072936914
325,0.09549038
326,0.010096842
327,0.017060697
328,0.0089259455
329,0.025365489
330,0.0046249763
331,0.01220028
332,0.016214581
333,0.009106082
334,0.022511916
335,0.036977723
336,0.042698786
337,0.010992706
338,0.23268245
339,0.02591549
340,0.008714457
341,0.0039679953
342,0.0117590865
343,0.014268092
344,0.04398745
345,0.013875401
346,0.021200968
347,0.4440821
348,0.1064683
349,0.015876407
350,0.0077974694
